Datetime,Open,High,Low,Close,Volume
2026-03-06 07:00:00,647.6768188476562,649.1531982421875,647.6310424804688,647.6310424804688,0
2026-03-06 08:00:00,647.607421875,651.2039184570312,647.0698852539062,651.0734252929688,0
2026-03-06 09:00:00,651.0653686523438,651.0653686523438,649.6466064453125,649.6600341796875,0
2026-03-06 10:00:00,649.7247314453125,650.2542724609375,648.3403930664062,649.3331298828125,0
2026-03-06 11:00:00,649.3897094726562,649.614501953125,643.1184692382812,643.7587280273438,0
2026-03-06 12:00:00,643.8067016601562,645.3245239257812,642.90771484375,644.8540649414062,2098560
2026-03-06 13:00:00,644.8585815429688,645.457763671875,644.1893920898438,645.457763671875,0
2026-03-06 14:00:00,645.3994750976562,647.3558959960938,644.5946044921875,647.0386962890625,0
2026-03-06 15:00:00,647.0257568359375,647.0257568359375,644.4501953125,644.4501953125,0
2026-03-06 16:00:00,644.4784545898438,644.6050415039062,639.7271118164062,640.8644409179688,0
2026-03-06 17:00:00,640.806884765625,641.39453125,640.0423583984375,640.14306640625,0
2026-03-06 18:00:00,640.121826171875,640.121826171875,637.4462890625,637.4894409179688,0
2026-03-06 19:00:00,637.4740600585938,638.0095825195312,635.6072387695312,637.6690063476562,0
2026-03-06 20:00:00,637.6104736328125,639.6613159179688,635.9584350585938,635.9584350585938,17729536
2026-03-06 21:00:00,635.6849365234375,635.6849365234375,626.6722412109375,626.9411010742188,30034816
2026-03-06 22:00:00,626.9176635742188,631.0640258789062,626.0223999023438,628.0933837890625,0
2026-03-06 23:00:00,628.0042724609375,630.6538696289062,627.1751708984375,629.2953491210938,0
2026-03-07 00:00:00,629.2733764648438,629.5355834960938,626.6488037109375,627.8933715820312,0
2026-03-07 01:00:00,628.33642578125,631.4862060546875,628.33642578125,630.9124145507812,0
2026-03-07 02:00:00,630.87646484375,632.4515380859375,630.3737182617188,630.639892578125,0
2026-03-07 03:00:00,630.618896484375,631.0443115234375,627.8966674804688,629.48974609375,787968
2026-03-07 04:00:00,629.4312744140625,629.5224609375,628.3367309570312,629.39794921875,0
2026-03-07 05:00:00,629.6320190429688,630.5078735351562,629.3604736328125,630.5078735351562,0
2026-03-07 06:00:00,630.4407348632812,630.4407348632812,627.2474365234375,627.2833862304688,0
2026-03-07 07:00:00,627.2586669921875,629.522705078125,627.0250854492188,629.3309936523438,0
2026-03-07 08:00:00,629.3389892578125,629.4916381835938,628.3353271484375,628.7908935546875,0
2026-03-07 09:00:00,628.7747192382812,628.7747192382812,626.720703125,627.1849365234375,0
2026-03-07 10:00:00,627.2544555664062,628.9684448242188,627.0965576171875,627.1453857421875,0
2026-03-07 11:00:00,627.1416015625,627.4425048828125,625.5253295898438,627.4317626953125,0
2026-03-07 12:00:00,627.3209838867188,628.317626953125,627.2261962890625,627.978271484375,0
2026-03-07 13:00:00,627.9476928710938,627.9476928710938,626.8825073242188,626.8825073242188,0
2026-03-07 14:00:00,626.8248901367188,627.7859497070312,625.9931030273438,627.7859497070312,0
2026-03-07 15:00:00,627.7567749023438,629.1425170898438,627.7022705078125,628.360107421875,0
2026-03-07 16:00:00,628.3753051757812,629.9532470703125,627.7684326171875,629.9532470703125,0
2026-03-07 17:00:00,629.8777465820312,629.900634765625,626.9981689453125,626.9981689453125,0
2026-03-07 18:00:00,627.0037231445312,628.6029052734375,626.775146484375,628.280517578125,0
