direction,score,setup,reclaim,bars_since_flip,flip_time,event_time,entry_price,flip_level,protect_level,forecast_direction,forecast_score,atr_pct,stoch_d,recent_vix_spike,wait,flip_pos,event_pos,favorable_move_pct,adverse_move_pct,end_move_pct,bars_to_peak,favorable_move_atr,favorable_move_risk,stop_risk_pct,symbol,major_move_cutoff_pct,major_move,stoch_k
BUY,69.1746943629956,EARLY_FLIP,False,0,2026-04-22 02:45:00,2026-04-22 02:45:00,284.4200134277344,284.7699890136719,281.7699890136719,BUY,75.87347181497795,0.6819182507429399,43.1788746982096,False,0,1273,1273,24.108703174667042,-0.6047398704381765,23.409037138373638,63,35.354242460003036,25.87522456124188,0.9317292345659143,AMD,3.0,True,
BUY,78.0,EARLY_FLIP,False,0,2026-05-06 08:00:00,2026-05-06 08:00:00,1.2970000505447388,1.2990000247955322,1.2899999618530271,BUY,91.85903700132589,0.5562309960553543,4.577925621426829,False,0,5668,5668,17.65612670926767,0.0,16.42250822033957,64,31.74243584855992,32.713867270651704,0.5397138333781574,NEAR-USD,3.0,True,
BUY,75.0,POST_FLIP_RECLAIM,True,1,2026-05-06 09:30:00,2026-05-06 09:45:00,1.3070000410079956,1.3049999475479126,1.2970000505447388,BUY,92.0,0.4699971700661534,69.57919712220362,False,1,5674,5675,16.755927697698386,0.15302933414910064,14.76663756208893,57,35.65112465536748,21.900019073504517,0.7651101874139621,NEAR-USD,3.0,True,
BUY,73.07842101677917,EARLY_FLIP,False,0,2026-05-06 12:15:00,2026-05-06 12:15:00,1.3140000104904177,1.3170000314712524,1.3079999685287476,BUY,75.39210508389587,0.516418059743241,39.48691269727754,False,0,5685,5685,16.13394297604626,0.4566241943507123,15.829523822397737,47,31.24201927420573,35.33308829372828,0.4566241943507123,NEAR-USD,3.0,True,
BUY,75.0,POST_FLIP_RECLAIM,True,1,2026-05-06 02:45:00,2026-05-06 03:00:00,1.2949999570846558,1.2899999618530271,1.2719999551773071,BUY,92.0,0.40264730635850426,99.55721266601954,False,1,5647,5648,15.05791960727764,0.5405382018838211,14.671819576596207,64,37.39729378413015,8.4782624470037,1.776061982204768,NEAR-USD,3.0,True,
BUY,78.0,EARLY_FLIP,False,0,2026-03-16 09:30:00,2026-03-16 09:30:00,1.438835620880127,1.438835620880127,1.4339615106582642,BUY,80.31812970637563,0.3961690967876972,29.052688624191273,False,0,970,970,12.743967851074597,0.002584958128649389,11.735469635524218,34,32.16800087237485,37.62014821336855,0.33875379168617814,DOT-USD,3.0,True,
BUY,74.12362723318903,POST_FLIP_RECLAIM,True,1,2026-03-16 06:30:00,2026-03-16 06:45:00,1.4395108222961426,1.431981921195984,1.4234281778335571,BUY,75.61813616594513,0.42717395815307185,69.25614450678573,False,1,958,959,12.691085381862703,0.420844136205796,8.73736656030247,45,29.70940793472955,11.359422137557353,1.1172298404073309,DOT-USD,3.0,True,
BUY,75.0,POST_FLIP_RECLAIM,True,1,2026-03-16 05:30:00,2026-03-16 05:45:00,1.439794659614563,1.437659502029419,1.4210726022720337,BUY,92.0,0.33253549102324903,86.7347820878435,False,1,954,955,12.668869758772924,0.8491478590642575,9.198457377387559,49,38.09779738033192,9.742824032804423,1.300328294559812,DOT-USD,3.0,True,
BUY,87.0,POST_FLIP_RECLAIM,True,2,2026-04-16 01:15:00,2026-04-16 01:45:00,255.31829833984372,255.0399932861328,253.43499755859372,BUY,92.0,0.4076338679005141,5.179156227281047,False,2,1163,1165,12.647619548496536,0.05753460024598777,8.020073461650187,57,31.026910530366617,17.146324863883866,0.7376285967342675,AMD,3.0,True,
BUY,78.0,EARLY_FLIP,False,0,2026-04-29 02:15:00,2026-04-29 02:15:00,0.0995099991559982,0.0995099991559982,0.099210001528263,BUY,92.0,0.32875418423314307,24.53558254822192,False,0,5165,5165,11.777712588628683,0.7335950582831426,10.38086535750285,58,35.82528574077787,39.0669812492149,0.30147485707934935,DOGE-USD,3.0,True,
